dataset,rules_file,config,keras_total,torch_total,diff,match,keras_ms,torch_ms,speedup
ablation_d2,rules.txt,w0d1,0,0,0,YES,1.44,5.55,0.2587
ablation_d2,rules.txt,w1d2,118,118,0,YES,4.60,14.30,0.3216
ablation_d2,rules.txt,w1d3,377,377,0,YES,7.09,21.99,0.3224
ablation_d3,rules.txt,w0d1,0,0,0,YES,0.92,5.02,0.1824
ablation_d3,rules.txt,w1d2,0,0,0,YES,3.14,12.32,0.2547
ablation_d3,rules.txt,w1d3,252,252,0,YES,5.73,21.57,0.2655
countries_s2,rules.txt,w0d1,67,67,0,YES,2.60,8.09,0.3213
countries_s2,rules.txt,w1d2,119,119,0,YES,4.09,14.36,0.2845
countries_s2,rules.txt,w1d3,165,165,0,YES,6.16,21.37,0.2881
countries_s3,rules.txt,w0d1,42,42,0,YES,35.25,8.95,3.9376
countries_s3,rules.txt,w1d2,783,783,0,YES,207.10,22.67,9.1366
countries_s3,rules.txt,w1d3,3349,3349,0,YES,360.75,133.70,2.6982
family,rules_old.txt,w0d1,195,195,0,YES,5.98,11.79,0.5069
family,rules_old.txt,w1d2,610,610,0,YES,29.63,25.60,1.1575
family,rules_old.txt,w1d3,787,787,0,YES,85.66,39.31,2.1794
wn18rr,rules.txt,w0d1,57,55,-2,NO,1.59,10.37,0.1537
wn18rr,rules.txt,w1d2,507,407,-100,NO,12.17,20.06,0.6068
wn18rr,rules.txt,w1d3,920,860,-60,NO,29.39,43.47,0.6761
